depth,l1,l2,Mode,Frequency,Max_Deflection,Average_Deflection
1.0,210,990,3.0,283.47,17.500999999999998,9.658
1.0,210,990,4.0,322.31,28.323,10.113999999999999
1.0,210,990,5.0,467.64,17.699,9.5905
1.0,210,990,6.0,489.14,17.727,8.4977
1.0,270,430,1.0,52.643,18.06,9.7069
1.0,270,430,2.0,144.94,17.298,9.9396
1.0,270,430,3.0,283.69,17.492,9.9862
1.0,270,430,4.0,322.79,28.343000000000004,11.562000000000001
1.0,270,430,5.0,468.91,17.701,9.76
1.0,270,430,6.0,489.27,17.73,9.8998
1.0,280,550,1.0,52.696999999999996,18.052,10.322000000000001
1.0,280,550,2.0,145.08,17.292,9.5885
1.0,280,550,3.0,284.45,17.493,10.417
1.0,280,550,4.0,322.85,28.345,12.07
1.0,280,550,5.0,469.7,17.724,9.5191
1.0,280,550,6.0,489.29,17.73,10.477
1.0,370,600,1.0,52.685,18.057000000000002,10.344000000000001
1.0,370,600,2.0,145.06,17.283,10.095
1.0,370,600,3.0,284.24,17.487000000000002,8.9998
1.0,370,600,4.0,322.89,28.35,12.087
1.0,370,600,5.0,469.66,17.707,10.852
1.0,370,600,6.0,489.3,17.73,10.495999999999999
1.0,370,770,1.0,52.721000000000004,18.055,9.6375
1.0,370,770,2.0,145.32,17.284000000000002,10.437999999999999
1.0,370,770,3.0,284.55,17.524,9.9238
1.0,370,770,4.0,322.81,28.342,11.554
1.0,370,770,5.0,470.08,17.752,10.405999999999999
1.0,370,770,6.0,489.3,17.729,9.844
1.0,330,850,1.0,52.751999999999995,18.052,9.1434
1.0,330,850,2.0,145.15,17.289,9.9897
1.0,330,850,3.0,284.59,17.525,9.9868
1.0,330,850,4.0,322.78,28.353,11.115
1.0,330,850,5.0,469.54,17.788,10.593
1.0,330,850,6.0,489.29,17.729,9.3811
1.0,350,990,1.0,52.512,18.044,9.1681
1.0,350,990,2.0,144.6,17.274,9.5862
1.0,350,990,3.0,283.08,17.485,8.2905
1.0,350,990,4.0,322.31,28.331,10.880999999999998
1.0,350,990,5.0,467.76,17.659000000000002,9.6336
1.0,350,990,6.0,488.92,17.73,9.3547
1.0,450,500,1.0,52.70399999999999,18.058,10.972000000000001
1.0,450,500,2.0,145.1,17.279,8.3961
1.0,450,500,3.0,284.41,17.487000000000002,10.780999999999999
1.0,450,500,4.0,322.91,28.346,12.565999999999999
1.0,450,500,5.0,469.93,17.692,9.1914
1.0,450,500,6.0,489.29,17.734,11.077
1.0,440,690,1.0,52.641999999999996,18.061,10.084
1.0,440,690,2.0,145.0,17.288,10.254000000000001
1.0,440,690,3.0,283.81,17.489,9.8277
1.0,440,690,4.0,322.81,28.353,11.897
1.0,440,690,5.0,468.94,17.707,9.7098
1.0,440,690,6.0,489.24,17.73,10.258
1.0,400,810,1.0,52.718,18.062,9.7073
1.0,400,810,2.0,145.28,17.292,10.017000000000001
1.0,400,810,3.0,284.24,17.485,9.9166
1.0,400,810,4.0,322.83,28.345,11.582
1.0,400,810,5.0,470.27,17.706,10.681
1.0,400,810,6.0,489.3,17.73,9.905
1.0,480,830,1.0,52.66,18.06,9.7262
1.0,480,830,2.0,144.96,17.292,8.8449
1.0,480,830,3.0,283.78,17.474,10.607999999999999
1.0,480,830,4.0,322.74,28.339000000000002,11.538
1.0,480,830,5.0,469.15,17.691,9.7046
1.0,480,830,6.0,489.23,17.733,9.9141
1.0,440,990,1.0,52.583,18.043,9.2686
1.0,440,990,2.0,144.7,17.277,8.5498
1.0,440,990,3.0,283.48,17.495,9.2698
1.0,440,990,4.0,322.44,28.326,10.868
1.0,440,990,5.0,468.17,17.680999999999997,9.3204
1.0,440,990,6.0,489.14,17.729,9.4328
1.0,570,670,1.0,52.71,18.058,10.58
1.0,570,670,2.0,145.07,17.317999999999998,9.8369
1.0,570,670,3.0,283.97,17.507,9.7079
1.0,570,670,4.0,322.81,28.346,12.277000000000001
1.0,570,670,5.0,469.6,17.724,10.48
1.0,570,670,6.0,489.27,17.73,10.719000000000001
1.0,560,790,1.0,52.674,18.048,9.3527
1.0,560,790,2.0,144.95,17.295,9.904
1.0,560,790,3.0,284.07,17.514,10.754000000000001
1.0,560,790,4.0,322.77,28.339000000000002,11.306
1.0,560,790,5.0,468.41,17.674,10.498
1.0,560,790,6.0,489.25,17.73,9.5768
1.0,570,910,1.0,52.72,18.055999999999997,9.6013
1.0,570,910,2.0,145.09,17.305,9.1663
1.0,570,910,3.0,284.02,17.52,9.8075
1.0,570,910,4.0,322.75,28.339000000000002,11.375
1.0,570,910,5.0,470.19,17.7,10.319
1.0,570,910,6.0,489.2,17.73,9.7946
1.0,530,960,1.0,52.652,18.057000000000002,9.6725
1.0,530,960,2.0,144.92,17.292,8.3892
1.0,530,960,3.0,283.76,17.499000000000002,9.9466
1.0,530,960,4.0,322.64,28.337,11.335999999999999
1.0,530,960,5.0,468.81,17.705,9.087
1.0,530,960,6.0,489.12,17.73,9.8424
1.0,680,740,1.0,52.661,18.058,9.7097
1.0,680,740,2.0,145.02,17.287,11.114
1.0,680,740,3.0,283.89,17.480999999999998,9.9892
1.0,680,740,4.0,322.73,28.351999999999997,11.665
1.0,680,740,5.0,469.16,17.723,9.2088
1.0,680,740,6.0,489.28,17.727999999999998,9.9199
1.0,730,900,1.0,52.702,18.061,8.4726
1.0,730,900,2.0,145.25,17.301,9.5806
1.0,730,900,3.0,284.4,17.475,9.9808
1.0,730,900,4.0,322.79,28.346,10.484000000000002
1.0,730,900,5.0,469.84,17.692,9.8317
1.0,730,900,6.0,489.26,17.729,8.7523
1.0,680,950,1.0,52.726000000000006,18.063,8.6193
1.0,680,950,2.0,145.18,17.299,9.2364
1.0,680,950,3.0,284.17,17.489,8.916
1.0,680,950,4.0,322.77,28.346,10.447000000000001
1.0,680,950,5.0,469.74,17.708,9.3596
1.0,680,950,6.0,489.22,17.729,8.8637
1.0,830,890,1.0,52.62,18.053,7.8548
1.0,830,890,2.0,144.87,17.289,9.3821
1.0,830,890,3.0,283.66,17.495,10.622
1.0,830,890,4.0,322.51,28.331999999999997,10.01
1.0,830,890,5.0,468.24,17.7,11.264000000000001
1.0,830,890,6.0,489.2,17.729,8.1779
1.0,810,970,1.0,52.556999999999995,18.043,8.2855
1.0,810,970,2.0,144.67,17.283,9.293
1.0,810,970,3.0,283.79,17.51,10.263
1.0,810,970,4.0,322.55,28.335,10.245
1.0,810,970,5.0,468.84,17.647000000000002,10.259
1.0,810,970,6.0,489.04,17.73,8.5481
2.0,20,140,1.0,52.281000000000006,18.029,8.0075
2.0,20,140,2.0,144.01,17.271,8.5783
2.0,20,140,3.0,282.02,17.495,9.059
2.0,20,140,4.0,321.77,28.314,9.7952
2.0,20,140,5.0,465.35,17.692,9.3928
2.0,20,140,6.0,488.09,17.73,8.2467
2.0,100,310,1.0,52.618,18.054000000000002,8.727
2.0,100,310,2.0,144.76,17.334,9.656
2.0,100,310,3.0,284.14,17.515,9.7491
2.0,100,310,4.0,322.38,28.345,10.699000000000002
2.0,100,310,5.0,469.32,17.764,10.123
2.0,100,310,6.0,489.04,17.73,8.9872
