Index,Mode,Frequency,Max_Deflection,Average_Deflection
75.0,3.0,283.46,17.518,8.728
75.0,4.0,322.21,28.34,10.706
75.0,5.0,466.53,17.78,9.777
75.0,6.0,488.36,17.728,9.147
76.0,1.0,52.308,18.028,8.2641
76.0,2.0,143.85,17.284,9.1213
76.0,3.0,281.26,17.592,9.4881
76.0,4.0,321.82,28.312,10.088
76.0,5.0,465.52,17.679,9.3466
76.0,6.0,488.52,17.727,8.5025
77.0,1.0,52.512,18.047,7.9753
77.0,2.0,144.76,17.306,8.5207
77.0,3.0,283.49,17.512,8.8425
77.0,4.0,322.16,28.322,9.7951
77.0,5.0,469.44,17.68,9.4763
77.0,6.0,488.36,17.722,8.2436
78.0,1.0,52.23,18.019,7.3914
78.0,2.0,143.83,17.251,7.7515
78.0,3.0,281.85,17.472,8.0001
78.0,4.0,321.7,28.299,8.9935
78.0,5.0,465.86,17.673,8.2354
78.0,6.0,487.79,17.727,7.626
79.0,1.0,52.706,18.057,9.2192
79.0,2.0,145.18,17.333,10.241
79.0,3.0,284.1,17.555,10.157
79.0,4.0,322.49,28.337,11.191
79.0,5.0,469.71,17.726,9.7381
79.0,6.0,489.19,17.732,9.454
80.0,1.0,52.619,18.065,9.5419
80.0,2.0,144.85,17.29,9.7649
80.0,3.0,283.46,17.571,10.264
80.0,4.0,322.51,28.358,11.425
80.0,5.0,467.58,17.701,10.832
80.0,6.0,489.12,17.737,9.7495
81.0,1.0,52.585,18.071,9.2123
81.0,2.0,144.92,17.293,9.4869
81.0,3.0,283.26,17.521,10.609
81.0,4.0,322.45,28.337,11.155
81.0,5.0,467.75,17.753,10.491
81.0,6.0,489.04,17.744,9.443
82.0,1.0,52.633,18.061,9.1909
82.0,2.0,144.82,17.3,10.318
82.0,3.0,283.51,17.602,10.195
82.0,4.0,322.48,28.363,11.168
82.0,5.0,467.46,17.749,10.148
82.0,6.0,489.26,17.731,9.4267
83.0,1.0,52.687,18.066,8.865
83.0,2.0,145.22,17.28,10.092
83.0,3.0,283.54,17.556,10.675
83.0,4.0,322.36,28.342,10.915
83.0,5.0,468.4,17.707,10.587
